title,description
Senior Python Developer for Ciklum,"Ciklum is looking for a Senior Python Developer to join our team full-time in Ukraine.About the Project:We are the team who is responsible for creating and maintaining self-service tools for data transformation, egress, discovery, visualisation and playground. As a team we do not build data pipelines, instead, we offer our users software that is used to build those pipelines. Our mission is to enable all JET employees to be self-sufficient with data so that data-driven decisions can be made quickly and easily. We are spread across the UK, Ukraine and Canada. We need more bright minds as we currently support data migration from AWS to our platform on GCP.Responsibilities:We are using Python as our main programming language, though there would be possibilities to utilise Javascript or Scala skills if the candidate has any or wants to learn them. Kubernetes, BigQuery and Apache Airflow are technologies that we use daily. Team is going to introduce DBT as a feature of one of our components. There’s a huge data migration happening now in the company as two Data departments merge, so it would be an extraordinary experience to participate in this process for such a big tech giant.Requirements:We are happy with at least a few years of senior experience.• The ideal candidate has experience with Python• SQL• Kubernetes• Apache Airflow• DBT, such Google Cloud services as BigQuery• GKE, CloudFunctions, Dataflow, Service Accounts, Pub/Sub, Cloud Storage.• Worked with PostgreSQL, Prometheus, Grafana, Jenkins, PagerDuty, Helm chartsWhat's in it for you:• Care: your mental and physical health is our priority. We ensure comprehensive company-paid medical insurance, Mental Health programs, as well as financial and legal consultations• Tailored education path: boost your skills and knowledge with our regular internal events (meetups, conferences, workshops), Udemy licence, language courses and company-paid certificationsGrowth environment: share your experience and level up your expertise with a community of skilled professionals, locally and globally• Flexibility: choose how you want to work – a 100% remote or on-site in our offices. Own your schedule – you are the one to decide when to start your working day. Just don’t miss your regular team stand-up• Opportunities: we value our specialists and always find the best options for them. Our Internal Mobility Program helps change a project if needed to help you grow, excel professionally and fulfil your potential• Global impact: work on large-scale projects that redefine industries with international and fast-growing clientsWelcoming environment: feel empowered with a friendly team, open-door policy, informal atmosphere within the company and regular team-building events"
Middle Python developer,"У Mobius (erp-mobius.com) ми створюємо та впроваджуємо рішення на базі Odoo ERP, які роблять роботу будь-якого бізнесу зручною та ефективною.Сьогодні ми знаходимось у пошуку в нашу молоду команду націленого на результативну роботу Middle Python developer. Ми готові зробити тобі пропозицію (де за свою працю ти будеш гідно винагороджений), якщо ти можеш похвалитися:-навичками програмування на Python від 2−3 років;-знанням SQL, REST API, Git;-досвідом користування Linux;-вмінням читати технічні тексти англійською (необхідний рівень- від pre-Intermediate).буде дуже круто, якщо в тебе є:-досвід у Frontend development;-вміння працювати з JS/HTML/CSS;-досвід користування і кастомізації Odoo.Зі свого боку обіцяємо:-конкурентну зарплатню - 2500$;-гнучкий графік роботи;-оплачуваний випробувальний термінЯкщо твоя зацікавленість тільки посилювалася під час ознайомлення з вакансією, не затягуй, надсилай нам своє резюме, будемо раді знайомству та можливому подальшому співробітництву!"
"Junior/Midle Developer (Python, JavaScript)","Наша ІТ команда на чолі з Дмитром Дубілетом розробила круте ПЗ, яке повністю замінює касовий апарат, допомагає бізнесу вбивати на корені бюрократію та економити масу ресурсів та грошей.Окрім фіскалізації, хочемо оптимізувати ще багато чого для торгівлі як ""на землі"", так і online, тому шукаємо в команду крутих фахівців.Ми шукаємо Розробника систем автоматизації процесів  на фул-тайм віддалено, який візьме частину завдань на себе та братиме активну участь у розвитку продукту.Основні задачі- Розробка допоміжних скриптів та десктоп-програм для роботи техпідтримки- Розробка парсерів та аналіз даних- Робота з базами даних (SQL/noSQL)- Побудова аналітичних дашбордів, робота з Grafana, Looker Studio та іншими.- Розробка внутрішніх CRM-систем- Міжсистемні інтеграцій, чат-ботиЩо шукаємо у кандидаті? - знання Python, JavaScript (NodeJS / Go / PHP / С++ / С# буде плюсом)- досвід роботи з Django, Flask, Express, Koa, Symfony- уміння розробки з використанням сучасних фронт-енд фреймворків Vue/React/Svelte/AngularJS- досвід роботи з PostgreSQL, MongoDB, Redis, Kafka- знання HTTP протоколу, RESTful API, SOAP, gRPC- розуміння low-code/no-code платформ (NodeRED або інші)- досвід роботи з API Telegram, Slack, Viber та інші- досвід роботи з GA та  GTM Відповідності трьом- чотирьом пунктам буде достатньо для того, щоб розпочати спілкування"
Senior Python Developer,"We are a leading global product engineering and digital services company that unites 4000+ seasoned professionals globally on various projects in healthcare, fintech, travel, sportswear, entertainment, and security. Ciklum delivers high-impact technology solutions to Fortune 500 and fast-growing organizations worldwide. About the role:As a Senior Developer, become a part of a cross-functional development team working for our Client.About the Project:We are the team who is responsible for creating and maintaining self-service tools for data transformation, egress, discovery, visualization, and playground. As a team we do not build data pipelines, instead, we offer our users software that is used to build those pipelines. Our mission is to enable all JET employees to be self-sufficient with data so that data-driven decisions can be made quickly and easily.We are looking for a senior engineer, who would be able to work independently or with minimal supervision, they would also need to keep an eye on stakeholder’s queries and assist them.Responsibilities:We are using Python as our main programming language, though there would be possibilities to utilise Javascript or Scala skills if the candidate has any or wants to learn them. Kubernetes, BigQuery and Apache Airflow are technologies that we use daily. Team is going to introduce DBT as a feature of one of our components. There's a huge data migration happening now in the company as two Data departments merge, so it would be an extraordinary experience to participate in this process for such a big tech giant.Requirements:We are happy with at least a few years of senior experience.Experience with:The ideal candidate has experience with PythonSQLKubernetesApache AirflowDBT, such Google Cloud services as BigQueryGKE, CloudFunctions, Dataflow, Service Accounts, Pub/Sub, Cloud Storage.Worked with PostgreSQL, Prometheus, Grafana, Jenkins, PagerDuty, Helm charts, Flask, and Javascript/React.They should also be a solid engineer, understand and follow software development principles, be comfortable with writing tests, be able to write documentation, communicate with the stakeholders and mentor less senior members of the team.Desirable:Be comfortable with at least one of the following technologies: Apache Airflow, DBT, Kubernetes, or BigQuery. Ability to learn, own their code, do pairing sessions with the other team members as well as work on their own.What`s in it for you?Care: your mental and physical health is our priority. We ensure comprehensive company-paid medical insurance, Mental Health programs, as well as financial and legal consultationsTailored education path: boost your skills and knowledge with our regular internal events (meetups, conferences, workshops), Udemy license, language courses, and company-paid certificationsGrowth environment: share your experience and level up your expertise with a community of skilled professionals, locally and globallyFlexibility: choose how you want to work – 100% remote or on-site in our offices. Own your schedule – you are the one to decide when to start your working day. Just don’t miss your regular team stand-upOpportunities: we value our specialists and always find the best options for them. Our Internal Mobility Program helps change a project if needed to help you grow, excel professionally, and fulfil your potentialGlobal impact: work on large-scale projects that redefine industries with international and fast-growing clientsWelcoming environment: feel empowered with a friendly team, open-door policy, informal atmosphere within the company, and regular team-building events"
Python developer (IoT/hardware),"Canyion Development is looking for Back End Python Developer to join Dnipro team on a full-time basis.Requirements:- experience in server side development;- 1.5 years of experience in Python;- bash;- command of Linux environment (shell, scripting, tools);- experienced in OOP and Design Patterns.Desirable:- experience as a C/C++ and Linux software developer;Responsibilities:• Develop multiprocessing, subprocessing, threading modules,• Work with network protocols HTTP/S, Websockets, MQTT• Perform unit and integration testing, logging,• Using of Git workflow,• Programming solutions for Linux (good knowledge).About Canyon DevelopmentThe company works with Customers from Israel, Europe, China, and engineers have a proven track records of successfully completed projects for clients from USA, Israel, Australia, New Zealand, Japan and France."
Python Developer,"Пам’ятаєш себе на старті кар’єри? Багатьом із нас не вистачало сильного ментора, який підкаже, спрямує, обговорить з тобою різні підходи, рішення, тренди.Менторство — чудовий шанс здобути нові навички, поглянути на старі задачі з іншої точки зору, структурувати базові знання і, звісно, допомогти студентам.Що потрібно, щоб стати ментором Python в нашій команді:— Комерційний досвід у програмуванні від 3-х років;— Впевнені знання Python 3, Django, Django Rest Framework, Flask, SQLalchemy;— Гарні знання та розуміння принципів веб-безпеки;— Впевнені знання БД (PostgreSQL, MySQL, SQLite);— Розуміння OOP, шаблонів проєктування, алгоритмів та структури даних;— Git, Linux, Docker;— AWS (буде плюсом);— Базові знання HTML, CSS, Javascript;— Бажання навчати та допомагати початківцям;— Гарні комунікативні навички (вміння пояснювати, знаходити підхід до різних людей).Обов'язки:— Перевірка завдань (код-рев'ю);— Відповіді на питання студентів;— Надання рекомендацій.Можливості, які ти отримаєш:— Спробуєш себе в ролі ментора, а mentorship навички важливі для ролі Lead'a: +1 до твого резюме й особистого бренду;— Покращиш свої навички комунікації;— Розшириш коло своїх знайомств;— Сам краще розберешся у нюансах програмування у процесі навчання інших;— Допоможеш студентам розпочати омріяну кар'єру;— Додатковий дохід за приємну справу;— Можливо, зустрінеш ідеального колегу у свою команду.Ми пропонуємо:— Віддалену роботу без відриву від основної, при якій ти зможеш самостійно розподіляти своє навантаження і менторити стільки студентів, скільки забажаєш;— Оплату, яка залежить від кількості студентів: 40% від вартості навчання за кожного студента."
Python Developer in Test (Apps),"Ajax Systems — розробник і виробник систем безпеки Ajax із можливостями розумного дому. Це більше 50 пристроїв, мобільні та десктопні застосунки, серверна інфраструктура. У лінійці Ajax представлено централі керування із власною RTOS (OS Malevich), датчики руху, відчинення, захисту від затоплення та пожежні датчики, вуличні й домашні сирени, тривожна кнопка з функцією керування приладами, розумні розетки та реле.Кожного року ми демонструємо кратне зростання як у чисельності команди, так і в кількості користувачів у всьому світі. Виробництво Ajax Systems налічує два заводи, що розташовані в Україні. Також у нас три R&D-офіси: у Києві, Харкові та Вінниці. Локальні команди продажів є у Великобританії, Італії, Іспанії, Португалії, Німеччині, Польщі, Норвегії, Румунії, Туреччині, ОАЕ та ПАР.Датчики Ajax охороняють більше 1 000 000 користувачів у більш ніж 130 країнах світу. За розробку пристроїв у Ajax відповідає R&D-департамент, який складається з чотирьох команд: System, Devices, Automation та QA.Ajax - це екосистема, робота якої неможлива без якісних і зручних у користуванні застосунків. За роботу цієї частини світу Ajax відповідають мануальні тестувальники та команда автоматизації. В їх розпорядженні тільки що розроблений фреймворк, що дозволяє відтворити будь-яку ситуацію, уявну нашим QA. Тестування відбувається на платформах IOS/AOS за допомогою Appium.Чим технічно цікава вакансіяПроект активно розвивається, тому ви можете вплинути на його результат на старті. Сьогодні вже розроблена база, якої достатньо для написання основних тестів, але є велика зона неохоплених кейсів, для автоматизації яких треба розробляти новий функціонал фреймворку.Які стоять задачі:- розробка та впровадження автоматизованого тестування функціональності Ajax Apps за допомогою Python;- робота з інфраструктурою CI на базі Jenkins;- робота з низькорівневими бінарними протоколами;- пошук та аналіз невідповідностей поведінки системи згідно з технічним завданням;- cкладання баг-репорту та ведення життєвого циклу бага;Що шукаємо у кандидаті:- технічний бекграунд;- знання Python;- досвід роботи з Appium/Selenium;- досвід роботи з GIT;- базові знання UNIX/Linux OS;- розуміння складної серверної архітектури;- знання ООП;Буде плюсом:- досвід роботи з pytest;- досвід роботи з gRPC;- досвід роботи з протоколами TCP рівня;Ми пропонуємо:- Cвободу приймати рішення та втілювати ідеї- Можливість впливати на продукт і виробництво замість монотонного закриття задач- Роботу у вмотивованій команді та zero bullshit culture- Турботу та медичне страхування- Долучайтеся, щоб зробити Made in Ukraine синонімом надійності.Ajax — свобода бути інженером!"
Senior Python Developer for Guardicore,"DescriptionCiklum is looking for a Senior Python Developer to join our team full-time in Ukraine.We are a leading global product engineering and digital services company that unites 4000+ seasoned professionals globally on various projects in healthcare, fintech, travel, sportswear, entertainment, and security. Ciklum delivers high-impact technology solutions to Fortune 500 and fast-growing organizations worldwide.About the role:As a Senior Python Developer, become a part of a cross-functional development team working for the Guardicore.Our excellent team is responsible for developing products and internal tools to allow Guardicore to release faster and scale in the number of customers. We design, develop, maintain and deploy our internal-products to serve a wide range of needs. It’s a team of experts working with cutting edge technologies like K8s (and other Container technologies), Linux, Windows, Python3, MongoDB, Postgres, Influx, Jenkins, AWS, GCP, Azure, CircleCI, and more. It’s a team with a wide tech-stack that is facing the core challenges of our business today and still has a fun and friendly atmosphere.We are looking for a Python Developer to join our growing team. This is an excellent opportunity to develop yourself professionally and personally by joining a hell-of- a-ride!About the Project:At Guardicore (now Akamai!), we’re changing how organizations protect their data centers and clouds from advanced threats – and that starts with our people. Our team has some of the most talented experts in the field. We’re always looking for new people to challenge us, inspire us, and make us better.We solve a few of the most complex technological problems out there and build the market’s most comprehensive Data Centers cybersecurity solution. SCmagazine described Guardicore as a “5 stars, no Weaknesses product”. We work in small teams to allow each to make a real impact on our future product.ResponsibilitiesDesign, develop, maintain and deploy our internal-products to serve a wide range of needsDevelop products to allow faster-release and scale in the number of customersManage integrations with the biggest cloud providers in the marketImprove production reliability and maintainabilityRequirementsAt least 5 years of experience in Software developmentBasic knowledge of networking and routingExcellent troubleshooting and problem-solving skillsExperience with cloud architectures such as GCP or AWSExperience with docker technologiesDesirableB.Sc in computer science or related degreeWhat's in it for youCare: your mental and physical health is our priority. We ensure comprehensive company-paid medical insurance, Mental Health programs, as well as financial and legal consultationsTailored education path: boost your skills and knowledge with our regular internal events (meetups, conferences, workshops), Udemy licence, language courses and company-paid certificationsGrowth environment: share your experience and level up your expertise with a community of skilled professionals, locally and globallyFlexibility: choose how you want to work – a 100% remote or on-sight in our offices. Own your schedule – you are the one to decide when to start your working day. Just don’t miss your regular team stand-upOpportunities: we value our specialists and always find the best options for them. Our Internal Mobility Program helps change a project if needed to help you grow, excel professionally and fulfill your potentialGlobal impact: work on large-scale projects that redefine industries with international and fast-growing clientsWelcoming environment: feel empowered with a friendly team, open-door policy, informal atmosphere within the company and regular team-building eventsAbout us:Discover the pros of 20-year global experience! Join one of the largest IT companies in Ukraine, awarded as one of the top 10 employers in Ukraine by Forbes.Boost your skills and make a difference with cutting-edge projects, skilled colleagues and the latest tech stacks.Be bold, not bored! Interested already? We would love to get to know you! Submit your application. We can’t wait to see you at Ciklum."
Odoo/Python Developer,"Our company is seeking a skilled Odoo/Python Developer to join our growing team. In this role, you will be responsible for developing and implementing custom modules for our Odoo ERP system, as well as developing custom Python applications to support our business operations.Responsibilities:Develop and implement custom modules for the Odoo ERP system, including but not limited to sales, purchasing, inventory, and accounting modules.Develop custom Python applications to support our business operations, including data processing, reporting, and automation.Collaborate with cross-functional teams to gather requirements, design, and implement solutions that meet business needs.Troubleshoot and debug existing modules and applications, and provide timely resolution to issues.Write clean, efficient, and maintainable code that adheres to best practices and coding standards.Document code and application design, and maintain accurate technical documentation.Participate in code reviews to ensure quality and consistency of code across the team.Stay up-to-date with the latest Odoo and Python development trends, technologies, and best practices.Knowledge of MongoDB and microservices architecture to develop and integrate applications.Understanding of telephony/communications would be an added advantage.Qualifications:Bachelor's degree in Computer Science or a related field.3+ years of experience in Odoo development, including custom module development and integration.3+ years of experience in Python development, including Flask, Django, or other frameworks.Strong understanding of the Odoo ERP system, including its architecture and core modules.Strong understanding of relational databases, specifically PostgreSQL, and MongoDB.Experience working in a Linux environment.Strong problem-solving and analytical skills.Excellent communication and collaboration skills.Ability to work independently and as part of a team.Experience with Git or other version control systems.Experience with microservices architecture and developing RESTful APIs.If you are a self-motivated and talented Odoo/Python Developer with a passion for developing scalable and maintainable applications, and have a strong understanding of MongoDB and microservices architecture, we encourage you to apply for this exciting opportunity with our company."
Lead Python Developer,"Our client is creating a 2-sided media marketplace for print media (magazine, newspaper, out of home, billboard and roadside media publications). The company has close relationships with the industry and the founders have an extensive track record of working with US media companies, brands and marketers. The product is completely one-of-a-kind and promises challenging technical work, and rewarding opportunities to bring a software product to life from scratch.Technical stack (open to change upon discovery phase kick-off):- Python (Django)- Amazon EC2, S3, SQS, Lambda (TBD)- PostgreSQL (TBD)- ELK (TBD)- Docker (TBD)- Kubernetes (TBD)Development team structure:- Lead Python Engineer- FE engineer- Designer- QALocation:Remote, Eastern Europe (preferably Kyiv, Ukraine), South Africa.GMT+2 time zone"
Lead Back-End Engineer,"We're looking for Lead BE Engineer to join one of our teams and help us build a cutting-edge all-in-one solution that will change the game for businesses everywhere. If you're passionate about solving user problems, constantly learning and implementing new technologies, and working in a fun and supportive team environment, we want to hear from you! ✨Responsibilities:-develop solutions using Python and related technologies-technical leadership of the development team (2 SE FE, 1 Strong Middle BE)-analyze and estimate the effort of implementing business requirements-identify and propose improvements to achieve technological excellence-learn and apply cutting-edge technologiesRequirements:-5+ years of experience in software development, with at least 1 year in a leadership role;-strong technical skills in Python programming language and its associated frameworks and libraries;-experience with Django/DRF or Flask, Celery, Docker, CI/CD tools (Github actions/Jenkins);-experience with relational databases PostgreSQL/MySQL and in memory data stores e.g Redis; Elasticsearch will be a plus;-experience with integrating third-party APIs, preferably marketing APIs (Google Ads or Facebook);-strong leadership, problem-solving, analytical and communication skills.Nice-to-Have:-experience with AWS or another primary cloud service;-experience with Agile methodologies and project management tools;-upper-Intermediate English level or higher;-experience with digital marketing or media buying on Facebook, Google, or any other marketing platform.We Offer:-24 vacation days, 10 sick leaves-English classes-we cover 100% professional courses-opportunities for professional growth within the company, corporate events, and team-building activities-medical insurance or gym"
Python developer,"Requirements:*good knowledge and experience with Python 3*good understanding of software development process*familiarity with docker containers*understanding of some environment - Linux, Kubernetes, some public cloudWould be a plus:*familiarity with cloud services and cloud deployment processes (CloudFormation / Terraform)*Kubernetes*experience with Jupyter Notebooks*experience and understanding of databases and data pipelines - big plus Tasks:*design and development parts of the system in form of microservices*automated of deployment processes*integration with ML models We offer:*flexible working schedule*medical insurance*free English classes*working with latest cutting-edge technologies*great career development opportunities in a growing company*internal training in data engineering, data science"
Senior Python Developer,"В команду SINOPTIK.ua шукаємо Python Developer, якому цікаво працювати над розробленням нового функціоналу для погодного сайту №1 в Україні. Найближчим часом плануємо наповнювати сайт новим контентом (індекс якості повітря, штормові попередження, алергопрогноз) та реалізувати сервіс сповіщень, аби ви вчасно отримували корисну інформацію щодо зміни погодних умов. Про продукт:Коли ми з'ясували, що жоден український погодний сайт не повідомляє про погоду в маленьких містечках і селах, то створили SINOPTIK.ua. Він впевнено знайшов шлях у серця користувачів і став погодним сайтом №1 в Україні. За даними Top Websites Ranking by SimilarWeb у березні 2023р. входить у ТОП-5 найпопулярніших погодних ресурсів світу (Weather category, Worldwide). Щодня близько 2,6 млн українських інтернет-користувачів дізнаються погоду на SINOPTIK.UA.Наш стек:	Python 3.10+	Asyncio	Aiohttp	MySQL/SQLite	Redis	ElasticsearchЧим будете займатися:	Розробленням нового та покращенням поточного функціонала сайтів SINOPTIK. 	Розробленням Weather Notification Services.	Розвитком Weather Forecast Service для публікації нових видів контенту.Ми очікуємо, що у Вас:	Досконале володіння мовою програмування Python 3.	Досвід розробки з використанням Python 3.8+.	Досвід використання SQL сховищ даних (SQLite/MySQL/PostgreSQL/...).	Досвід використання NoSQL сховищ даних (Redis/MongoDB/...).	Досвід асинхронного програмування (async/await/tasks).	Досвід використання aiohttp.	Досвід імплементації REST-like API.	Розуміння та досвід застосування мікросервісної архітектури.	Розуміння концептів та особливостей Web-розробки.Чому варто обрати роботу в команді UKR.NET?	Фінансова стабільність.	Високий рівень експертності – ти зможеш розвиватися, працюючи в команді справжніх професіоналів.	Гібридний режим роботи (Office/Home Office.	Офіс поруч з метро Деміївська – ти не залежатимеш від заторів і наземного транспорту. 	Ми маємо власну авто-, велопарковку – твій транспорт буде в безпеці.Ми піклуємося про здоров'я наших людей і дбаємо про те, щоб кожен член команди мав відчуття захисту та надійності. Тому окрім традиційних смаколиків для гарного настрою та свіжих фруктів для вітамінізації надаємо:	Медичне страхування – зокрема, з покриттям критичних захворювань. Ми підтримуємо наших співробітників як в період сезонних захворювань, так і в складних ситуаціях.	Спортивний зал в офісі – корисно та зручно, не потрібно витрачати час на дорогу.Ми цінуємо в людях:	Захоплення своєю діяльністю – ми віримо, що тільки такі люди можуть створити справді високоякісний продукт.	Щирість, чесність, відповідальність, ініціативність, наполегливість – бо у злагодженій команді результати завжди краще.	Тактовність і взаємоповагу – адже це запорука успішної співпраці та доброзичливої атмосфери.Приєднуйтеся, щоб розвивати найпопулярніші українські інтернет-сервіси! Створюватимемо історію разом!"
Senior Python Developer (with ML/AI  background),"Cyberspectr Solution це ІТ-компанія, яка має досвід в розробці різних типів програмного забезпечення: десктопні, мобільні додатки, інтернет-магазини, системи пов'язані із криптою та інше. І зараз ми в пошуку висококваліфікованого старшого розробника Python з досвідом роботи в галузі машинного навчання / штучного інтелекту, який приєднається до нашої динамічної команди. Ідеальний кандидат повинен мати понад 4 роки різноманітного досвіду роботи !Розглядаємо кандидатів на Part-time!Вимоги до кандидата:• понад 3 роки комерційного досвіду Python;• комерційний досвід від 1 року C/C++;• досвід роботи з Docker, GitLab, CI/CD;• хмарні платформи: AWS;• бібліотеки машинного навчання: PyTorch, Tensorflow, Numpy, scikit-learn, Pandas;• знання англійської мови, на рівні не нижче Upper-Intermediate;Обов'язки:• проектування, розробка та реалізація програмного забезпечення;• участь у всіх етапах розробки - нові функції, обслуговування та вдосконалення, підтримка та виправлення помилок;• співпраця з командою для забезпечення функціональності продукту, орієнтованого на клієнта.Ми пропонуємо:• цікаві проекти з можливістю впливати на процес розробки;• відмінна команда та доброзичлива обстановка;• гнучкий робочий графік без тайм-трекерів;• оплачувана відпустка, лікарняний;• корпоративні уроки англійської мови."
Sr Python Engineer,"We are looking for an experienced Senior Python engineer who is proficient with Python, Postgres, SQL.This is a revolutionary product (telecom industry / speech analytics) which leaves competitors behind by reacher functionality and better scalability.Responsibilities:Develop new application featuresDesign scalable, resource efficient solutions from the beginningBuild high reliable system componentsOptimize services for maximum performanceKeep the code quality at the topTechnical skills:Strong proficiency in Python (Sr / Architect level)Strong experience in working with databases (PostgreSQL) and SQL languageExperience in developing high traffic systemsAbility to understand business requirements and translate them into technical requirementsKnowledge in Ansible, Terraform, Docker is a strong plusExperience in implementing Reporting and Analytics is a strong plusExperience in Natural Language Processing and Speech Sound Processing is a strong plusNon-technical skills:Team playerExcellent time-management skillsGreat interpersonal and communication skills"
Senior / Lead Technical Support Developer,"Job Summary:As a Tier 3 Support Engineer, you will be responsible for resolving complex technical issues escalated from Tier 1 and Tier 2 support teams. You will work closely with customers, software developers, and other technical support engineers to provide timely and effective solutions to issues related to our products and services. You will also be responsible for troubleshooting, analyzing, and resolving software and platform issues, as well as identifying root causes and providing recommendations for long-term solutions.Key Responsibilities:Provide Tier 3 technical support for customers and internal teams- Troubleshoot and resolve complex technical issues related to software and systems- Work with Tier 1 and Tier 2 support teams to escalate issues as necessary- Collaborate with software developers and other technical support engineers to resolve issues and provide solutions- Analyze system logs and diagnostic data to identify and diagnose issues- Reproduce Issues identified at the customer’s site in order to identify the root cause- Develop and maintain technical documentation, including knowledge base articles and troubleshooting guides- Stay up-to-date with the latest technologies, industry trends, and best practices related to Tier 3 technical supportQualifications:- Bachelor's degree in Computer Science, Electrical Engineering, or a related field- 4+ years of experience in Tier 3 technical support or a related field- Strong analytical and problem-solving skills- Excellent English written and verbal communication skills- Experience with troubleshooting complex software and hardware issues- Experience with Cloud environments (Azure, GCP, AWS), Database Platforms (such as Oracle, Snowflake, Postgres), BigData Platforms (such as Databricks, Hadoop, Spark), and Docker/Kubernetes.- Familiarity with programming languages such as Java, Python- Knowledge of operating systems, databases, and networking protocols- Ability to work independently and in a team environment- Demonstrated ability to learn quickly and adapt to changing technologies and customer requirements."
Python developer / strong junior,"Необхідні навички:- Досвід в IT компанії на Python - від 1+ року;- Знання фреймворку Django;- Впевнене знання Python3;- Відмінне знання мови програмування Python;- Досвід вирішення завдань, пов'язаних з асинхронним програмуванням.Обов'язки:- Проектування і розробка нових та існуючих проектів;- Розробка API для клієнтських додатків і сервісів;- Участь в оцінюванні проєктів;- Відповідальність за свою роботу.Буде плюсом:- Знання AWS;- Досвід роботи з noSQL.- Розмовна Англійська.Ми пропонуємо:- П'ятиденка, 8 годинний робочий день;- Відпустка 2+ тижні від Вашого середньорічного результату роботи;- Гнучкий графік, будь-який день можна зробити днем відпочинку (вирішили питання лікарняних і на ""свій рахунок"") або ще однією відпусткою :)- Гідна заробітна плата, яка розраховується відповідно до ваших результатів відповідно до ваших знань та досвіду;- Індексація заробітної плати відповідно до результатів роботи, оплачувані овертайми."
Middle\Senior Backend Engineer ( Python),"Software Rocket is looking for a Senior Backend Engineer to join the ongoing project where you can contribute by freeing people from monotonous, compromising and repetitive tasks, making room for more versatile tasks and career opportunities.At SoftwareRocket we are committed to what really matters - the exceptional service and high quality of our products, providing our employees with everything they need to achieve great results, avoiding the waste of their personal time on intrusive communication and annoying corporate culture.If all of this resonates with you, we can't wait to see you become a part of our team!Our ExpectationsRequired- Track record of successfully designing, operating and monitoring service oriented architectures.- Git and Docker are essential parts of your tool belt and you are confident with Unix based systems.- Solid AWS knowledge especially around Serverless architectures.- Profound Python skills alongside experience with Django and Asynchronous networking via Asyncio.- Solid knowledge of different data structures and databases as well as knowing when to use which (Relational, Object stores, document databases, time series, key value stores, etc.).- Experience in API design (REST, GraphQL, (Web)Sockets, RPC, etc.).GREAT TO HAVE- A background in robotics or automation technologies.- You have knowledge around Node.js, TypeScript, Javascript and the many-faceted variety of modern front end technologies.- IaC experience with Terraform or Ansible.- Experience in AWS IoT and robotics services.- Experience with event or stream based communication using Kinesis, Kafka, or queueing tools like SNS, SQS, Celery, RabbitMQ, etc.Your Responsibilities- As part of an international, agile team your primary mission is to make interaction with robots as easy and intuitive as possible.- This involves all interactions from initial teaching to daily operations.- You play an active role in designing new solutions with product management and other stakeholders taking ownership of technical feasibility and execution.- You feel accountable for the success and the flawless operation of your products and act decisively and autonomous should any incidents occur.- In regular consultation with customers, product management and other departments you measure and validate the utility and customer satisfaction of your work.- As a senior team member you take an active role in improving internal quality measures and processes as well as holding yourself and others accountable to adhere to them- With great pleasure and talent you share your knowledge with junior team members and act as a role model and mentor.What We Offer- completely remote work;- a responsible team of senior level specialists driven by the delivering of quality results;- many projects, which allows you to switch in between in the future to improve your skills."
Computer Vision Engineer,"About us: Tangiblee (Chicago, USA) is creating Augmented Reality (AR) solutions for e-commerce that are utilized by millions of online shoppers worldwide. Our client base includes renowned brands like Fossil, Pandora, Coach, and many others. We are a remote first and geek-friendly team of professionals.Our solutionWith Tangiblee's AR solution, retailers can create a more engaging and personalized shopping experience for their customers. Our technology allows shoppers to visualize size, virtually try-on various items, and even furnish their apartments online, leading to happier and more satisfied customers. By combining the online and offline shopping experience, Tangiblee AR is transforming the way people shop and ultimately improving the overall shopping experience.RequirementsThe ideal candidate should have:A minimum of 2 years of commercial experience in a related fieldThe ability to work independently with minimum supervision, as well as thrive in a collaborative team environmentTechnical expertise in Python, as well as knowledge of any other programming language is a plusStrong knowledge of Computer Vision fundamentals and classical image processing algorithmsProficiency with numpy, scipy, OpenCV, TensorFlow, and PyTorchExperience with segmentation (semantic, instance, panoptic) is highly desiredA proven ability to design and implement complex algorithms, and be analytical and creative in a problem-solving environmentA solid understanding of machine learning techniques, including data collection, training, evaluation, and iterative improvementsA Bachelor's degree or equivalent in Computer Science, Engineering, Mathematics, or a related fieldStrong communication and presentation skillsAt least an intermediate level of English proficiencyResponsibilitiesWe're currently seeking a skilled Computer Vision engineer to augment our team's capabilities and expand our product's existing functionalities to include new product categories.Your key responsibilities will involve:- Utilizing Machine Learning and Computer Vision technology to address real-world issues for our market-ready product.- Actively contributing to business development and growth by presenting innovative and unconventional concepts.- Demonstrating your work to colleagues.- Working closely with other techies, such as software engineers, data scientists, and product managers, to make sure that Computer Vision solutions meet the product's requirements and help the business grow.- Keeping up with the latest research and trends in Computer Vision and Machine Learning, and using this knowledge to make our product even better and more awesome!"
